Sample	Compartment	SourceColony	AcclimationTank	Origin	Group	Day	Hsp70	Ubiquitin
HVZW-1A-D4	Zoox	1	stable	HV	HV_stable	D4	0.9406783	22.07295077
HVZW-2A-D4	Zoox	2	stable	HV	HV_stable	D4	0.625304596	4.169363661
HVZW-3A-D4	Zoox	3	stable	HV	HV_stable	D4	0.785488187	3.291180492
HVZW-4A-D4	Zoox	4	stable	HV	HV_stable	D4	1.164557416	5.173549697
HVZW-5A-D4	Zoox	5	stable	HV	HV_stable	D4	0.566377706	3.839937716
MVZW-1A-D4	Zoox	6	stable	MV	MV_stable	D4	0.85717972	7.009465975
MVZW-2A-D4	Zoox	7	stable	MV	MV_stable	D4	0.522519733	3.516082793
MVZW-3A-D4	Zoox	8	stable	MV	MV_stable	D4	2.418835076	13.50263773
MVZW-4A-D4	Zoox	9	stable	MV	MV_stable	D4	2.800474882	9.727485629
MVZW-5A-D4	Zoox	10	stable	MV	MV_stable	D4	2.418179532	10.22594474
forereefZW-1A-D4	Zoox	11	stable	forereef	forereef_stable	D4	0.465613534	3.266502415
forereefZW-2A-D4	Zoox	12	stable	forereef	forereef_stable	D4	0.161395083	2.272625807
forereefZW-4A-D4	Zoox	14	stable	forereef	forereef_stable	D4	0.64470634	1.288828484
forereefZW-5A-D4	Zoox	15	stable	forereef	forereef_stable	D4	0.361251769	1.450088627
HVZW-1B-D4	Zoox	1	variable	HV	HV_variable	D4	0.002327134	6.344370343
HVZW-2B-D4	Zoox	2	variable	HV	HV_variable	D4	0.75825801	2.424637334
HVZW-3B-D4	Zoox	3	variable	HV	HV_variable	D4	0.467164542	2.822968676
HVZW-4B-D4	Zoox	4	variable	HV	HV_variable	D4	0.662302584	4.271850461
HVZW-5B-D4	Zoox	5	variable	HV	HV_variable	D4	0.454704043	2.889026417
MVZW-1B-D4	Zoox	6	variable	MV	MV_variable	D4	0.946113423	3.274747433
MVZW-2B-D4	Zoox	7	variable	MV	MV_variable	D4	0.64529212	2.383161915
MVZW-3B-D4	Zoox	8	variable	MV	MV_variable	D4	1.168795817	7.239499475
MVZW-4B-D4	Zoox	9	variable	MV	MV_variable	D4	0.627599637	6.518798489
MVZW-5B-D4	Zoox	10	variable	MV	MV_variable	D4	0.873322842	7.455739196
forereefZW-1B-D4	Zoox	11	variable	forereef	forereef_variable	D4	0.304089395	1.409370934
forereefZW-2B-D4	Zoox	12	variable	forereef	forereef_variable	D4	0.256260331	1.470198545
forereefZW-3B-D4	Zoox	13	variable	forereef	forereef_variable	D4	0.006246435	4.228468619
forereefZW-4B-D4	Zoox	14	variable	forereef	forereef_variable	D4	0.002104806	0.859642072
forereefZW-5B-D4	Zoox	15	variable	forereef	forereef_variable	D4	0.002418443	2.128280698
